"","network","state","site_name","description","start","end","latitude","longitude","elev","county","site_id"
"196","SNTL","WY","crow creek ","North Fork Crow Creek (101900090104)",2003-08-01,2019-12-10,41.23,-105.38,2539,"Albany",1045
"197","SNTL","AK","moraine ","Eklutna Lake (190204010103)",2001-10-01,2019-12-10,61.38,-149,640,"Anchorage",1035
"198","SNTL","CO","arapaho ridge ","Rabbit Ears Creek-Troublesome Creek (140100010604)",2002-08-01,2019-12-10,40.35,-106.38,3341,"Grand",1030
"199","SNTL","CO","never summer ","Jack Creek (101800010401)",2002-09-01,2019-12-10,40.4,-105.96,3133,"Jackson",1031
"200","SNTL","CO","rawah ","Middle Canadian River (101800010603)",2002-09-01,2019-12-10,40.71,-106.01,2749,"Jackson",1032
"201","SNTL","CO","zirkel ","Middle North Fork North Platte River (101800010202)",2002-08-01,2019-12-10,40.79,-106.6,2847,"Jackson",1033
"202","SNTL","ID","long valley ","Lake Fork Creek (170501230206)",2001-10-01,2019-12-10,44.79,-116.09,1490,"Valley",1016
"203","SNTL","ID","schweitzer saddle ","Middle Fork East River-East River (170102150502)",2002-09-01,2008-10-01,48.37,-116.64,1862,"Bonner",1038
"204","SNTL","NM","sierra blanca ","Upper Rio Ruidoso (130600080103)",2002-09-01,2019-12-10,33.4,-105.79,3133,"Lincoln",1034
"205","SNTL","NM","vacas locas ","Headwaters Rio de Las Vacas (130202020102)",2001-10-01,2019-12-10,36.03,-106.81,2836,"Rio Arriba",1017
"206","SNTL","UT","temple fork ","Temple Fork (160102030303)",2001-11-01,2019-12-10,41.79,-111.55,2257,"Cache",1013
"207","SNTL","WA","swift creek ","Swift Creek (170800020304)",2001-10-01,2019-12-10,46.16,-122.18,1353,"Skamania",1012
"208","SNTL","WY","sage creek basin ","Little Jack Creek (101800020802)",2001-10-01,2019-12-10,41.4,-107.26,2393,"Carbon",1015
"209","SNTL","AK","johnsons camp ","Pine Creek (190501042003)",2000-10-01,2019-12-10,64.56,-164.29,8,"Nome",1036
"210","SNTL","CO","middle fork camp ","Headwaters Williams Fork (140100010402)",2001-09-01,2019-12-10,39.8,-106.03,2725,"Grand",1014
"211","SNTL","ID","moscow mountain ","Little Bear Creek (170603061002)",2000-10-01,2019-12-10,46.81,-116.85,1433,"Latah",989
"212","SNTL","ID","smiley mountain ","Lower Star Hope Creek (170402180102)",2001-09-01,2019-12-10,43.73,-113.83,2902,"Custer",926
"213","SNTL","ID","van wyck ","Lower North Crane Creek (170501240902)",2000-10-01,2019-12-10,44.38,-116.34,1500,"Washington",979
"214","SNTL","NV","lewis peak ","Trout Creek (160401070903)",2000-10-01,2019-12-10,40.36,-116.86,2246,"Lander",1006
"215","SNTL","OR","crazyman flat ","Paradise Creek (180102020101)",2001-09-01,2019-12-10,42.64,-120.95,1884,"Klamath",1010
"216","SNTL","UT","clayton springs ","Coyote Hollow-Antimony Creek (160300020501)",2000-10-01,2019-12-10,37.97,-111.83,3063,"Garfield",983
"217","SNTL","WA","beaver pass ","Upper Big Beaver Creek (171100050605)",2000-10-01,2019-12-10,48.88,-121.26,1106,"Whatcom",990
"218","SNTL","WA","hozomeen camp ","Silver Creek-Ross Lake (171100050602)",2000-10-01,2019-12-10,48.98,-121.08,515,"Whatcom",991
"219","SNTL","AK","pargon creek ","Slate Creek-Fish River (190501040905)",1999-10-01,2019-12-10,64.99,-163.1,30,"Nome",986
"220","SNTL","AK","port graham ","Port Graham-Frontal Cook Inlet (190203011208)",1999-10-01,2019-12-10,59.35,-151.85,91,"Kenai Peninsula",987
"221","SNTL","CA","crowder flat ","Mosquito Creek-Willow Creek (180102040103)",1999-10-01,2019-12-10,41.89,-120.75,1576,"Modoc",977
"222","SNTL","CO","ute creek ","East Fork Ute Creek (130100020604)",2000-08-01,2019-12-10,37.61,-105.37,3246,"Costilla",1005
"223","SNTL","ID","hidden lake ","Cow Creek (170101040502)",2000-09-01,2019-12-10,48.89,-116.76,1536,"Boundary",988
"224","SNTL","MT","burnt mtn ","Sand Creek (100700060802)",2000-09-01,2019-12-10,45.24,-109.46,1792,"Carbon",981
"225","SNTL","OR","annie springs ","Upper Annie Creek (180102030101)",2000-09-01,2019-12-10,42.87,-122.17,1832,"Klamath",1000
"226","SNTL","UT","louis meadow ","City Creek (160202040304)",1999-10-01,2019-12-10,40.83,-111.76,2042,"Salt Lake",972
"227","SNTL","UT","parrish creek ","Holbrook Creek-Frontal Farmington Bay (160201020501)",1999-10-01,2019-12-10,40.93,-111.81,2359,"Davis",971
"228","SNTL","WA","sourdough gulch ","Lick Creek (170601030202)",2000-07-01,2019-12-10,46.24,-117.39,1219,"Asotin",985
"229","SNTL","WA","spruce springs ","North Fork Asotin Creek (170601030201)",2000-07-01,2019-12-10,46.18,-117.54,1737,"Garfield",984
"230","SNTL","WA","swamp creek ","Upper Granite Creek (171100050503)",1999-10-01,2019-12-10,48.57,-120.78,1198,"Skagit",975
"231","SNTL","WY","cole canyon ","Middle Spearfish Creek (101202030302)",2000-06-01,2019-12-10,44.49,-104.41,1801,"Crook",982
"232","SNTL","AK","rocky point ","Golovnin Lagoon-Frontal Golovnin Bay (190501041103)",1999-09-01,2019-12-10,64.53,-163.42,76,"Nome",973
"233","SNTL","AZ","happy jack ","Brady Canyon (150602020604)",1999-06-01,2019-12-10,34.75,-111.41,2326,"Coconino",969
"234","SNTL","CO","jones pass ","Headwaters Williams Fork (140100010402)",1999-09-01,2019-12-10,39.76,-105.91,3170,"Grand",970
"235","SNTL","ID","bogus basin ","Cottonwood Creek-Shafer Creek (170501220201)",1999-09-01,2019-12-10,43.76,-116.1,1932,"Boise",978
"236","SNTL","ID","reynolds creek ","Lower Reynolds Creek (170501030604)",1999-08-01,2019-12-10,43.29,-116.84,1707,"Owyhee",2029
"237","SNTL","MT","sacajawea ","Upper Brackett Creek (100700030403)",1999-09-01,2019-12-10,45.87,-110.93,1996,"Gallatin",929
"238","SNTL","OR","gerber reservoir ","Gerber Reservoir (180102040508)",1998-10-01,2019-12-10,42.21,-121.13,1490,"Klamath",945
"239","SNTL","WA","burnt mountain ","Wilkeson Creek (171100140103)",1999-07-01,2019-12-10,47.04,-121.94,1271,"Pierce",942
"240","SNTL","WA","dungeness ","Headwaters Dungeness River (171100200301)",1998-10-01,2019-12-10,47.87,-123.08,1222,"Clallam",943
"241","SNTL","WA","waterhole ","Lillian Creek (171100200506)",1999-09-01,2019-12-10,47.94,-123.43,1527,"Clallam",974
"242","SNTL","WY","cinnabar park ","The Big Hollow (101800100503)",1999-06-01,2019-12-10,41.24,-106.23,2918,"Albany",1046
"243","SNTL","AK","eagle summit ","Porcupine Creek (190804010801)",1997-10-01,2019-12-10,65.49,-145.41,1113,"Yukon-koyukuk",960
"244","SNTL","AK","independence mine ","Fishhook Creek-Little Susitna River (190205051202)",1997-10-01,2019-12-10,61.79,-149.28,1082,"Matanuska-susitna",1091
"245","SNTL","CO","buckskin joe ","Headwaters Middle Fork South Platte River (101900010102)",1998-08-01,2019-12-10,39.3,-106.11,3399,"Park",938
"246","SNTL","CO","echo lake ","Vance Creek (101900020801)",1998-08-01,2019-12-10,39.66,-105.59,3231,"Clear Creek",936
"247","SNTL","CO","jackwhacker gulch ","Geneva Creek (101900020201)",1998-08-01,2019-12-10,39.57,-105.8,3341,"Clear Creek",935
"248","SNTL","CO","lost dog ","Outlet North Fork Elk Creek (140500010203)",1998-08-01,2019-12-10,40.82,-106.75,2841,"Routt",940
"249","SNTL","CO","michigan creek ","Michigan Creek (101900010404)",1998-08-01,2019-12-10,39.44,-105.91,3231,"Park",937
"250","SNTL","CO","rough and tumble ","Headwaters South Fork South Platte River (101900010202)",1998-08-01,2019-12-10,39.03,-106.08,3158,"Park",939
"251","SNTL","NM","rice park ","Sawyer Creek (130202070203)",1998-08-01,2019-12-10,35.23,-108.27,2579,"Cibola",933
"252","SNTL","NM","tolby ","Ute Creek-Cimarron River (110800020107)",1998-08-01,2019-12-10,36.47,-105.19,3103,"Colfax",934
"253","SNTL","WA","huckleberry creek ","Silver Creek-White River (171100140307)",1997-10-01,2019-12-10,47.07,-121.59,686,"Pierce",928
"254","SNTL","WA","mowich ","Voight Creek (171100140105)",1998-09-01,2019-12-10,46.93,-121.95,963,"Pierce",941
"255","SNTL","WY","big goose ","Upper South Tongue River (100901010103)",1998-07-01,2019-12-10,44.58,-107.2,2435,"Sheridan",931
"256","SNTL","WY","gunsight pass ","Middle South Fork Fish Creek (170401020102)",1998-09-01,2019-12-10,43.38,-109.88,2993,"Sublette",944
"257","SNTL","AK","gobblers knob ","Outlet Prospect Creek (190901020403)",1996-10-01,2019-12-10,66.75,-150.67,619,"Yukon-koyukuk",962
"258","SNTL","AZ","snowslide canyon ","Bear Jaw Canyon (150200160201)",1997-09-01,2019-12-10,35.34,-111.65,2966,"Coconino",927
"259","SNTL","NM","elk cabin ","Headwaters Santa Fe River (130202010102)",1996-10-01,2019-12-10,35.7,-105.81,2502,"Santa Fe",921
"260","SNTL","NM","santa fe ","Headwaters Santa Fe River (130202010102)",1996-10-01,2019-12-10,35.77,-105.78,3488,"Santa Fe",922
"261","SNTL","OR","south fork bull run ","South Fork Bull Run River (170800010504)",1997-09-01,2019-12-10,45.45,-122.03,820,"Clackamas",925
"262","SNTL","WY","deer park ","Headwaters Little Popo Agie River (100800030101)",1997-08-01,2019-12-10,42.59,-108.9,2957,"Fremont",923
"263","SNTL","CO","medano pass ","Medano Creek (130100030604)",1995-10-01,2019-12-10,37.85,-105.44,2941,"Saguache",914
"264","SNTL","MT","albro lake ","South Willow Creek (100200050701)",1996-09-01,2019-12-10,45.6,-111.96,2530,"Madison",916
"265","SNTL","SD","north rapid creek ","North Fork Rapid Creek (101201100101)",1996-08-01,2019-12-10,44.21,-103.79,1868,"Lawrence",920
"266","SNTL","AK","coldfoot ","Slate Creek (190901010604)",1994-10-01,2019-12-10,67.25,-150.18,317,"Yukon-koyukuk",958
"267","SNTL","CO","buffalo park ","Red Dirt Creek (140100010706)",1995-09-01,2019-12-10,40.23,-106.6,2816,"Grand",913
"268","SNTL","ID","schwartz lake ","Basin Creek (170602040604)",1995-09-01,2019-12-10,44.85,-113.84,2630,"Lemhi",915
"269","SNTL","UT","agua canyon ","East Fork Sevier River Headwaters (160300020301)",1994-10-01,2019-12-10,37.52,-112.27,2713,"Kane",907
"270","SNTL","UT","dry fork ","Bingham Creek (160202040106)",1994-10-01,2019-12-10,40.57,-112.17,2162,"Salt Lake",906
"271","SNTL","WA","elbow lake ","Wanlick Creek-South Fork Nooksack River (171100040401)",1995-08-01,2019-12-10,48.69,-121.91,927,"Whatcom",910
"272","SNTL","WA","rex river ","Rex River (171100120102)",1995-08-01,2019-12-10,47.3,-121.6,1161,"King",911
"273","SNTL","WA","skookum creek ","Upper South Fork Tolt River (171100100503)",1995-08-01,2019-12-10,47.68,-121.61,1009,"King",912
"274","SNTL","WA","wells creek ","Wells Creek (171100040103)",1995-08-01,2019-12-10,48.87,-121.79,1228,"Whatcom",909
"275","SNTL","AZ","beaver head ","Upper Beaver Creek (150601010107)",1993-10-01,2019-12-10,33.69,-109.22,2435,"Greenlee",902
"276","SNTL","CO","columbus basin ","Headwaters La Plata River (140801050101)",1994-08-01,2019-12-10,37.44,-108.02,3287,"La Plata",904
"277","SNTL","CO","mancos ","West Mancos River (140801070102)",1994-08-01,2019-12-10,37.43,-108.17,3048,"Montezuma",905
"278","SNTL","MT","stuart mountain ","Lower Rattlesnake Creek (170102040102)",1994-07-01,2019-12-10,47,-113.93,2256,"Missoula",901
"279","SNTL","UT","hardscrabble ","Hardscrabble Creek (160201020105)",1993-10-01,2019-12-10,40.87,-111.72,2210,"Morgan",896
"280","SNTL","WA","alpine meadows ","Upper North Fork Tolt River (171100100501)",1994-09-01,2019-12-10,47.78,-121.7,1067,"King",908
"281","SNTL","WA","meadows pass ","Headwaters Cedar River (171100120101)",1993-10-01,2019-12-10,47.28,-121.47,985,"King",897
"282","SNTL","WA","mount gardner ","Chester Morse Lake-Cedar River (171100120103)",1993-10-01,2019-12-10,47.36,-121.57,890,"King",898
"283","SNTL","WA","tinkham creek ","Headwaters Cedar River (171100120101)",1993-10-01,2019-12-10,47.33,-121.47,911,"King",899
"284","SNTL","WY","tie creek ","Lower Big Goose Creek (100901010205)",1994-08-01,2019-12-10,44.81,-107.41,2094,"Sheridan",818
"285","SNTL","AK","fort yukon ","Seventeen Mile Slough-Yukon River (190705062100)",1992-10-01,2019-12-10,66.57,-145.25,131,"Yukon-koyukuk",961
"286","SNTL","ID","chocolate gulch ","Eagle Creek-Big Wood River (170402190301)",1992-10-01,2019-12-10,43.77,-114.42,1923,"Blaine",895
"287","SNTL","MT","onion park ","Upper Tenderfoot Creek (100301030801)",1992-10-01,2019-12-10,46.91,-110.85,2259,"Meagher",1008
"288","SNTL","MT","stringer creek ","Upper Tenderfoot Creek (100301030801)",1992-10-01,2019-12-10,46.93,-110.9,1996,"Meagher",1009
"289","SNTL","AK","kelly station ","190504030802-Noatak River (190504030802)",1991-10-01,2019-12-10,67.93,-162.28,94,"Northwest Arctic",1175
"290","SNTL","CO","ivanhoe ","Headwaters Fryingpan River (140100040501)",1991-10-01,2019-12-10,39.29,-106.55,3170,"Pitkin",547
"291","SNTL","CO","loveland basin ","Headwaters Clear Creek (101900040102)",1991-10-01,2019-12-10,39.67,-105.9,3475,"Clear Creek",602
"292","SNTL","ID","camas creek divide ","Sheep Creek-Camas Creek (170402200101)",1991-10-01,2019-12-10,43.27,-115.35,1740,"Elmore",382
"293","SNTL","MT","brackett creek ","Upper Brackett Creek (100700030403)",1992-08-01,2019-12-10,45.89,-110.94,2231,"Gallatin",365
"294","SNTL","WA","moses mtn ","Upper Omak Creeek (170200061903)",1991-10-01,2019-12-10,48.36,-119.08,1527,"Okanogan",644
"295","SNTL","WY","grave springs ","Upper Buffalo Creek (100902010103)",1991-10-01,2019-12-10,43.47,-107.24,2606,"Natrona",501
"296","SNTL","CA","monitor pass ","Leviathan Canyon (160502010201)",1990-10-01,2019-12-10,38.67,-119.61,2532,"Alpine",633
"297","SNTL","CO","south colony ","Colony Creek-Grape Creek (110200011206)",1990-10-01,2019-12-10,37.97,-105.54,3292,"Custer",773
"298","SNTL","AK","middle fork bradley ","Bradley River (190203011102)",1989-10-01,2019-12-10,59.78,-150.76,701,"Kenai Peninsula",1064
"299","SNTL","AK","moore creek bridge ","West Creek (190103030203)",1989-10-01,2019-12-10,59.59,-135.21,686,"Skagway",1176
"300","SNTL","AK","nuka glacier ","Bradley Lake (190203011101)",1989-10-01,2019-12-10,59.7,-150.71,381,"Kenai Peninsula",1037
"301","SNTL","CA","leavitt lake ","Leavitt Creek-West Walker River (160503020104)",1989-10-01,2019-12-10,38.28,-119.61,2927,"Mono",574
"302","SNTL","CO","cascade #2 ","Headwaters Cascade Creek (140801040201)",1990-09-01,2019-12-10,37.66,-107.8,2719,"San Juan",387
"303","SNTL","ID","mica creek ","Mica Creek (170103040604)",1989-10-01,2019-12-10,47.15,-116.27,1375,"Shoshone",623
"304","SNTL","ID","wilson creek ","Upper Wilson Creek (170402130202)",1989-10-01,2019-12-10,42.01,-115,2170,"Twin Falls",871
"305","SNTL","SD","blind park ","Upper Castle Creek (101201100104)",1989-10-01,2019-12-10,44.11,-103.98,2100,"Pennington",354
"306","SNTL","WA","lost horse ","Upper Simcoe Creek (170300030302)",1989-10-01,2019-12-10,46.36,-121.08,1561,"Yakima",599
"307","SNTL","WA","mount crag ","Tunnel Creek (171100180601)",1989-10-01,2019-12-10,47.76,-123.03,1207,"Jefferson",648
"308","SNTL","WY","snake river station ","Upper Pacific Creek (170401010402)",1989-10-01,2019-12-10,44.13,-110.67,2109,"Teton",764
"309","SNTL","AK","grouse creek divide ","South Fork Snow River (190203020902)",1988-10-01,2019-12-10,60.26,-149.34,213,"Kenai Peninsula",964
"310","SNTL","AK","summit creek ","Headwaters Canyon Creek (190203020401)",1988-10-01,2019-12-10,60.62,-149.53,427,"Kenai Peninsula",955
"311","SNTL","CO","overland res. ","Cow Creek (140200040101)",1988-10-01,2019-12-10,39.09,-107.63,2999,"Delta",675
"312","SNTL","CO","trinchera ","North Fork Trinchera Creek (130100020601)",1988-10-01,2019-12-10,37.35,-105.23,3310,"Costilla",829
"313","SNTL","ID","pine creek pass ","Upper Trail Creek (170402040101)",1988-10-01,2019-12-10,43.57,-111.21,2048,"Teton",695
"314","SNTL","ID","sedgwick peak ","Dempsey Creek (170402080209)",1988-10-01,2019-12-10,42.52,-111.96,2393,"Bannock",741
"315","SNTL","MT","bisson creek ","Mud Creek (170102120602)",1988-10-01,2019-12-10,47.68,-114,1500,"Lake",346
"316","SNTL","MT","lone mountain ","South Fork West Fork Gallatin River (100200080201)",1988-10-01,2019-12-10,45.27,-111.43,2707,"Madison",590
"317","SNTL","MT","sleeping woman ","East Fork Valley Creek (170102120708)",1988-10-01,2019-12-10,47.18,-114.33,1875,"Sanders",783
"318","SNTL","NM","wesner springs ","Porvenir Canyon-Gallinas Creek (130600010802)",1988-10-01,2019-12-10,35.78,-105.54,3389,"San Miguel",854
"319","SNTL","NV","sheldon ","Catnip Creek (171200080106)",1988-10-01,2019-12-10,41.9,-119.44,1788,"Washoe",750
"320","SNTL","UT","mill-d north ","Headwaters Big Cottonwood Canyon (160202040201)",1988-10-01,2019-12-10,40.66,-111.64,2732,"Salt Lake",628
"321","SNTL","UT","snowbird ","Headwaters Little Cottonwood Canyon (160202040202)",1989-08-01,2019-12-10,40.57,-111.66,2797,"Salt Lake",766
"322","SNTL","MT","tizer basin ","Headwaters Crow Creek (100301010701)",1987-10-01,2019-12-10,46.35,-111.85,2097,"Jefferson",893
"323","SNTL","UT","lookout peak ","Parleys Creek (160202040302)",1988-06-01,2019-12-10,40.84,-111.71,2487,"Salt Lake",596
"324","SNTL","UT","mining fork ","South Willow Creek-Frontal Great Salt Lake (160203040503)",1988-09-01,2019-12-10,40.49,-112.61,2528,"Tooele",631
"325","SNTL","UT","thaynes canyon ","Kimball Creek (160201020101)",1988-06-01,2019-12-10,40.62,-111.53,2813,"Summit",814
"326","SNTL","WY","granite creek ","Muddy Creek (170401030304)",1987-10-01,2019-12-10,43.34,-110.43,2063,"Teton",497
"327","SNTL","AK","susitna valley high ","Little Montana Creek-Montana Creek (190205050105)",1986-10-01,2019-12-10,62.13,-150.04,114,"Matanuska-susitna",967
"328","SNTL","WA","thunder basin ","Upper Thunder Creek (171100050702)",1987-09-01,2019-12-10,48.53,-120.99,1317,"Skagit",817
"329","SNTL","WY","sylvan road ","Crow Creek (100800120103)",1986-10-01,2019-12-10,44.48,-110.04,2170,"Park",807
"330","SNTL","WY","thumb divide ","Lower Pelican Creek (100700010409)",1987-09-01,2019-12-10,44.37,-110.58,2432,"Teton",816
"331","SNTL","AK","granite crk ","Granite Creek (190803031306)",1985-11-01,2019-12-10,63.94,-145.4,378,"Southeast Fairbanks",963
"332","SNTL","AK","mcneil canyon ","Swift Creek-Frontal Kachemak Bay (190203010806)",1985-10-01,2019-12-10,59.74,-151.25,402,"Kenai Peninsula",1003
"333","SNTL","CO","columbine pass ","Potter Creek (140200050202)",1985-10-01,2019-12-10,38.42,-108.38,2865,"Montrose",409
"334","SNTL","CO","crosho ","Outlet Hunt Creek (140500010106)",1985-10-01,2019-12-10,40.17,-107.06,2774,"Rio Blanco",426
"335","SNTL","CO","el diente peak ","Cayton Valley-Dolores River (140300020202)",1985-10-01,2019-12-10,37.79,-108.02,3048,"Dolores",465
"336","SNTL","CO","mesa lakes ","Coon Creek (140100051307)",1985-10-01,2019-12-10,39.06,-108.06,3048,"Mesa",622
"337","SNTL","CO","molas lake ","Tenmile Creek-Animas River (140801040302)",1985-10-01,2019-12-10,37.75,-107.69,3200,"San Juan",632
"338","SNTL","CO","nast lake ","Deeds Creek-Fryingpan River (140100040504)",1985-10-01,2019-12-10,39.3,-106.61,2652,"Pitkin",658
"339","SNTL","CO","rabbit ears ","Harrison Creek (140500010402)",1985-10-01,2019-12-10,40.37,-106.74,2865,"Routt",709
"340","SNTL","CO","ripple creek ","Snell Creek-North Fork White River (140500050102)",1985-10-01,2019-12-10,40.11,-107.29,3152,"Rio Blanco",717
"341","SNTL","CO","scotch creek ","Scotch Creek-Dolores River (140300020204)",1985-10-01,2019-12-10,37.65,-108.01,2774,"Dolores",739
"342","SNTL","CO","spud mountain ","Lime Creek (140801040202)",1985-10-01,2019-12-10,37.7,-107.78,3249,"San Juan",780
"343","SNTL","CO","stillwater creek ","Stillwater Creek (140100010306)",1985-10-01,2019-12-10,40.23,-105.92,2658,"Grand",793
"344","SNTL","CO","stump lakes ","Virginia Gulch-Florida River (140801040702)",1985-10-01,2019-12-10,37.48,-107.63,3414,"San Juan",797
"345","SNTL","CO","trapper lake ","Headwaters North Fork White River (140500050101)",1985-10-01,2019-12-10,40,-107.24,2957,"Garfield",827
"346","SNTL","CO","upper rio grande ","Rio Grande Reservoir (130100010106)",1985-10-01,2019-12-10,37.72,-107.26,2865,"Hinsdale",839
"347","SNTL","CO","vallecito ","Indian Creek-Los Pinos River (140801011105)",1985-10-01,2019-12-10,37.49,-107.51,3316,"La Plata",843
"348","SNTL","CO","wolf creek summit ","Wolf Creek (140801010203)",1985-10-01,2019-12-10,37.48,-106.8,3353,"Mineral",874
"349","SNTL","ID","brundage reservoir ","Upper Goose Creek (170602100104)",1985-10-01,2019-12-10,45.04,-116.13,1905,"Adams",370
"350","SNTL","ID","soldier r.s. ","Upper Soldier Creek (170402200303)",1985-10-01,2019-12-10,43.48,-114.83,1750,"Camas",769
"351","SNTL","MT","short creek ","Lazyman Creek-Ruby River (100200030106)",1985-10-01,2019-12-10,44.98,-111.95,2134,"Madison",753
"352","SNTL","UT","brighton ","Headwaters Big Cottonwood Canyon (160202040201)",1986-09-01,2019-12-10,40.6,-111.58,2672,"Salt Lake",366
"353","SNTL","UT","camp jackson ","Johnson Creek (140802010301)",1985-10-01,2019-12-10,37.81,-109.49,2700,"San Juan",383
"354","SNTL","UT","donkey reservoir ","Donkey Creek-Fremont River (140700030305)",1985-10-01,2019-12-10,38.21,-111.47,2987,"Wayne",452
"355","SNTL","UT","east willow creek ","Tenmmile Canyon (140600060205)",1986-08-01,2019-12-10,39.31,-109.53,2530,"Grand",461
"356","SNTL","UT","little grassy ","Little Pine Creek (160300061302)",1985-10-01,2019-12-10,37.49,-113.85,1849,"Washington",583
"357","SNTL","UT","long valley jct ","Headwaters East Fork Virgin River (150100080201)",1986-06-01,2019-12-10,37.49,-112.51,2275,"Kane",593
"358","SNTL","WA","quartz peak ","Upper Deadman Creek (170103080302)",1985-10-01,2019-12-10,47.88,-117.09,1433,"Spokane",707
"359","SNTL","WY","battle mountain ","West Fork Battle Creek (140500030109)",1985-10-01,2019-12-10,41.05,-107.27,2268,"Carbon",317
"360","SNTL","WY","whiskey park ","King Solomon Creek (140500030102)",1985-10-01,2019-12-10,41,-106.91,2728,"Carbon",859
"361","SNTL","CO","bison lake ","Headwaters Deep Creek (140100011401)",1985-09-01,2019-12-10,39.76,-107.36,3316,"Garfield",345
"362","SNTL","CO","north lost trail ","Yule Creek-Crystal River (140100040703)",1984-10-01,2019-12-10,39.08,-107.14,2804,"Gunnison",669
"363","SNTL","CO","schofield pass ","South Fork Crystal River (140100040701)",1984-10-01,2019-12-10,39.02,-107.05,3261,"Gunnison",737
"364","SNTL","UT","hewinta ","West Fork Smiths Fork (140401070203)",1985-09-01,2019-12-10,40.95,-110.48,2896,"Summit",521
"365","SNTL","UT","hickerson park ","Horseshoe Canyon-Green River (140401060501)",1985-09-01,2019-12-10,40.91,-109.96,2780,"Daggett",522
"366","SNTL","UT","hole-in-rock ","Lower Upper Marsh Creek (140401060205)",1985-09-01,2019-12-10,40.92,-110.19,2794,"Summit",528
"367","SNTL","UT","pine creek ","Pine Creek (160300051307)",1985-02-01,2019-12-10,38.88,-112.25,2662,"Millard",694
"368","SNTL","WY","east rim divide ","Nowlin Creek (170401030203)",1984-10-01,2019-12-10,43.13,-110.2,2417,"Sublette",460
"369","SNTL","WY","hams fork ","West Beaver Creek-Hams Fork (140401070504)",1984-10-01,2019-12-10,42.15,-110.68,2390,"Lincoln",509
"370","SNTL","WY","kendall r.s. ","Miner Creek-North Beaver Creek (140401010302)",1984-10-01,2019-12-10,43.25,-110.02,2359,"Sublette",555
"371","SNTL","WY","new fork lake ","Upper Pine Creek (140401020201)",1984-10-01,2019-12-10,43.11,-109.95,2542,"Sublette",661
"372","SNTL","WY","sandstone rs ","Little Sandstone Creek (140500030208)",1984-10-01,2019-12-10,41.11,-107.17,2484,"Carbon",732
"373","SNTL","WY","south pass ","Headwaters Little Popo Agie River (100800030101)",1984-10-01,2019-12-10,42.57,-108.84,2755,"Fremont",775
"374","SNTL","WY","triple peak ","Lower Horse Creek (140401010503)",1984-10-01,2019-12-10,42.76,-110.59,2591,"Sublette",831
"375","SNTL","AK","monahan flat ","West Fork Susitna River (190205010304)",1983-10-01,2019-12-10,63.31,-147.65,826,"Matanuska-susitna",1094
"376","SNTL","AK","point mackenzie ","Stephan Lake-Goose Creek (190204010805)",1983-10-01,2015-08-01,61.39,-150.03,76,"Matanuska-susitna",1002
"377","SNTL","AK","upper chena ","Headwaters Middle Fork Chena River (190803060102)",1983-10-01,2019-12-10,65.1,-144.93,869,"Fairbanks North Star",952
"378","SNTL","AZ","wildcat ","Centerfire Creek (150601010109)",1983-10-01,2019-12-10,33.76,-109.48,2393,"Greenlee",866
"379","SNTL","CA","adin mtn ","Cottonwood Creek (180200021403)",1983-10-01,2019-12-10,41.24,-120.79,1887,"Modoc",301
"380","SNTL","CA","spratt creek ","Hot Springs Creek (160502010107)",1983-10-01,2019-12-10,38.67,-119.82,1848,"Alpine",778
"381","SNTL","ID","cool creek ","Cold Springs Creek-North Fork Clearwater River (170603070702)",1983-10-01,2019-12-10,46.76,-115.3,1914,"Clearwater",411
"382","SNTL","ID","crater meadows ","Middle Weitas Creek (170603070502)",1983-10-01,2019-12-10,46.56,-115.29,1817,"Clearwater",425
"383","SNTL","NV","big meadow ","Hunter Creek-Truckee River (160501020505)",1983-10-01,2019-12-10,39.45,-119.94,2510,"Washoe",340
"384","SNTL","NV","diamond peak ","Torre Creek-Slough Creek-Frontal Diamond Valley (160600051503)",1983-10-01,2019-12-10,39.56,-115.84,2444,"Eureka",443
"385","SNTL","NV","draw creek ","Upper T Creek (160401010403)",1983-10-01,2019-12-10,41.66,-115.32,2235,"Elko",454
"386","SNTL","WA","sasse ridge ","Upper Cle Elum River (170300010104)",1983-10-01,2019-12-10,47.38,-121.06,1323,"Kittitas",734
"387","SNTL","WA","spirit lake ","Headwaters North Fork Toutle River (170800050502)",1983-10-01,2019-12-10,46.26,-122.18,1073,"Skamania",777
"388","SNTL","WY","st. lawrence alt ","Middle North Fork Little Wind River (100800020105)",1983-10-01,2019-12-10,43.03,-109.17,2627,"Fremont",786
"389","SNTL","AK","grandview ","Headwaters Trail Creek (190203021001)",1982-10-01,2019-12-10,60.61,-149.06,335,"Kenai Peninsula",956
"390","SNTL","AK","kenai moose pens ","Upper Moose River (190203021601)",1982-10-01,2019-12-10,60.73,-150.48,91,"Kenai Peninsula",966
"391","SNTL","AK","kodiak ","Chiniak Bay (190207011506)",1982-10-01,1986-10-01,57.75,-152.48,6,"Kodiak Island",201
"392","SNTL","AK","sagwon ","190604010905 (190604010905)",1982-10-01,2019-12-10,69.42,-148.69,305,"North Slope",1183
"393","SNTL","ID","elk butte ","Upper Elk Creek (170603080701)",1982-10-01,2019-12-10,46.84,-116.12,1734,"Clearwater",466
"394","SNTL","ID","hemlock butte ","French Creek (170603070601)",1982-10-01,2019-12-10,46.48,-115.63,1771,"Clearwater",520
